point,delta,pred_std,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
108,3.561028,0.164667,89.849466,0.450036,-1.216997,1.315045,1.469873,1.477451,0.544713
152,3.568075,0.16588,89.856512,0.46333,-1.232395,1.315128,1.499911,1.498976,0.50516
162,3.571265,0.166887,89.859702,0.444071,-1.250609,1.315204,1.499906,1.490426,0.491121
80,3.57387,0.169395,89.862308,0.448858,-1.2576,1.315156,1.493634,1.493439,0.530828
42,3.585056,0.17026,89.873493,0.448893,-1.024155,1.315062,1.497019,1.498761,1.103245
47,3.593788,0.173307,89.882226,0.44926,-1.106097,1.315141,1.458016,1.499032,1.090712
101,3.601766,0.175102,89.890204,0.448893,-1.104859,1.315142,1.497019,1.498758,1.103205
70,3.608426,0.175807,89.896863,0.450053,-1.218982,1.31415,1.442845,1.493596,1.101288
113,3.62032,0.177539,89.908758,0.462301,-0.953907,1.314564,1.497958,1.498615,1.427176
155,3.622931,0.178042,89.911368,0.446663,-0.959144,1.315074,1.499973,1.495777,1.462334
67,3.633776,0.178595,89.922213,0.449265,-1.021664,1.315127,1.497102,1.498742,1.460356
110,3.645063,0.179526,89.9335,0.450022,-1.263015,1.315141,1.34015,1.499032,1.423533
102,3.646942,0.18139,89.935379,0.447009,-1.263015,1.31411,1.347643,1.499032,1.46175
106,3.658146,0.182524,89.946583,0.449353,-1.217795,1.31506,1.440597,1.499981,1.446765
145,3.659286,0.184512,89.947723,0.450053,-1.218982,1.31415,1.442845,1.493596,1.493937
185,3.669192,0.184778,89.957629,0.449353,-1.217795,1.315062,1.496847,1.499127,1.446765
150,3.676622,0.187058,89.965059,0.450022,-1.26667,1.315141,1.484076,1.499032,1.423533
